COUNTY,LONG,LAT,ELEV,DATE,RAINFALL,TMIN,TMEAN,TMAX,TDMEAN,VPDMIN,VPDMAX,MONTH_YEAR,YEAR,MONTH_YEAR_STR,YEAR_STR
Alachua,-82.3576,29.6748,147.0,2023-02-09,0.0,54.3,66.0,77.7,55.9,1.58,17.54,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-10,0.0,55.9,67.8,79.7,62.5,1.74,13.51,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-11,1.43,60.7,70.9,81.1,63.8,1.71,14.8,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-12,0.48,56.3,62.8,69.3,59.3,1.88,4.85,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-13,0.02,41.3,49.8,58.2,44.4,0.94,6.02,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-14,0.0,40.0,54.5,69.1,38.6,0.87,17.22,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-15,0.0,43.2,59.3,75.4,43.5,1.67,21.73,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-16,0.0,52.5,66.3,80.2,58.3,1.58,17.89,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-17,0.0,59.8,70.7,81.5,60.0,1.81,18.7,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-18,0.09,40.3,61.0,81.6,55.0,1.29,15.09,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-19,0.0,39.6,50.7,61.8,42.3,0.71,8.66,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-20,0.0,46.7,62.1,77.6,54.8,1.12,14.84,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-21,0.0,52.6,64.7,76.9,57.1,1.77,17.07,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-22,0.0,62.2,71.0,79.8,62.9,2.26,14.2,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-23,0.0,60.5,72.7,84.9,61.9,2.01,21.17,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-24,0.0,62.2,73.6,84.9,65.2,2.25,20.08,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-25,0.0,60.3,72.7,85.1,63.1,1.69,21.5,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-26,0.0,59.9,72.0,84.2,60.7,1.75,21.85,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-27,0.0,61.9,72.7,83.6,60.8,1.85,20.8,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-28,0.0,62.8,71.1,79.4,64.2,2.4,15.74,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-03-01,0.0,66.5,74.5,82.5,66.4,2.88,15.5,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-02,0.0,61.7,71.9,82.2,62.7,2.21,17.6,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-03,0.0,60.1,71.1,82.2,60.6,2.23,19.77,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-04,0.0,64.0,73.5,83.0,66.4,2.43,19.27,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-05,0.47,61.6,70.6,79.6,65.7,3.07,10.41,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-06,0.0,60.8,72.4,84.0,60.4,2.28,24.78,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-07,0.0,62.1,73.2,84.4,61.5,2.36,22.45,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-08,0.07,63.3,74.7,86.2,64.0,1.83,22.8,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-09,0.0,51.8,63.2,74.6,53.2,1.94,12.89,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-10,0.0,54.0,65.0,76.0,54.0,2.13,17.12,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-11,0.18,55.0,67.1,79.2,61.1,1.58,14.23,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-12,0.0,50.7,63.6,76.4,44.7,1.74,23.6,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-13,1.2,52.9,66.1,79.3,62.2,1.6,15.38,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-14,0.99,46.4,57.4,68.4,54.0,1.55,6.73,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-15,0.0,43.2,54.6,65.9,33.1,2.71,15.91,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-16,0.0,38.8,51.4,64.0,37.1,1.58,12.95,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-17,0.0,43.3,58.1,72.9,46.8,1.57,17.05,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-18,0.0,56.2,67.9,79.6,59.0,2.09,19.06,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-19,0.94,44.7,58.1,71.4,50.7,1.14,5.1,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-20,0.0,38.8,49.6,60.5,35.3,1.62,11.17,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-21,0.0,37.9,49.1,60.3,30.9,1.44,12.63,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-22,0.0,44.7,57.2,69.7,53.6,1.36,9.15,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-23,0.0,57.3,68.9,80.5,57.9,1.88,19.32,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-24,0.0,59.2,71.5,83.8,58.8,1.94,22.12,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-25,0.0,60.9,72.7,84.6,61.8,1.94,22.23,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-26,0.0,68.3,76.2,84.0,68.4,2.87,14.84,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-27,0.0,66.4,76.2,86.0,66.0,2.57,19.87,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-28,0.0,67.0,75.8,84.6,66.3,2.6,18.2,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-29,0.08,61.1,71.8,82.6,64.1,2.35,14.16,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-30,0.0,53.1,63.0,72.9,53.3,2.08,12.12,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-03-31,0.0,54.3,65.5,76.7,54.5,1.59,16.61,2023-03,2023,2023-03,2023
Alachua,-82.3576,29.6748,147.0,2023-04-01,0.0,58.8,71.1,83.4,60.5,1.57,21.72,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-02,0.0,63.9,73.5,83.1,67.0,1.86,15.79,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-03,0.0,61.3,73.1,84.9,55.8,2.37,28.02,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-04,0.0,61.6,73.9,86.2,60.4,2.11,23.75,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-05,0.0,65.8,76.9,88.1,66.1,2.42,24.57,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-06,0.0,68.1,78.5,88.9,66.8,2.13,25.34,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-07,0.0,66.7,77.4,88.0,66.4,2.29,24.99,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-08,0.35,67.2,77.7,88.1,66.3,2.17,25.73,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-09,0.18,52.0,65.6,79.2,63.6,1.33,12.24,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-10,0.02,50.3,55.9,61.6,53.0,1.48,3.83,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-11,0.0,58.4,63.0,67.5,57.9,1.77,5.05,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-12,0.0,58.8,66.4,74.0,57.9,1.56,13.3,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-13,0.0,60.9,68.1,75.3,60.0,1.57,13.53,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-14,0.02,64.6,74.3,83.9,65.0,2.64,18.42,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-15,0.0,60.7,72.8,84.9,60.6,2.78,23.37,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-16,0.0,62.9,74.7,86.5,65.2,1.87,19.03,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-17,0.03,62.4,74.0,85.6,64.4,1.94,20.68,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-18,0.0,48.5,62.7,77.0,42.7,4.17,23.73,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-19,0.0,50.4,65.7,80.9,42.2,1.93,28.8,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-20,0.0,52.9,66.9,80.9,54.3,1.47,22.86,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-21,0.0,56.5,69.5,82.6,55.6,1.62,23.19,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-22,0.0,60.2,73.2,86.3,62.3,1.59,26.54,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-23,0.0,59.8,73.0,86.2,58.2,2.23,24.0,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-24,0.0,59.8,70.5,81.3,55.5,1.7,21.79,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-25,0.02,60.9,68.4,76.0,62.5,1.7,10.21,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-26,0.65,61.9,71.9,81.8,63.3,2.04,15.82,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-27,0.33,64.6,75.3,85.9,64.9,1.99,21.93,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-28,1.36,63.4,73.8,84.3,65.3,2.1,15.3,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-29,0.0,65.2,74.3,83.4,67.7,1.91,15.5,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-04-30,0.85,66.1,74.6,83.2,67.0,2.08,15.2,2023-04,2023,2023-04,2023
Alachua,-82.3576,29.6748,147.0,2023-05-01,0.0,56.8,66.7,76.6,59.0,1.45,14.48,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-02,0.0,59.4,69.7,80.1,58.7,1.56,17.41,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-03,0.0,61.0,71.4,81.8,54.7,2.84,21.9,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-04,0.0,55.2,67.9,80.7,47.7,1.96,25.51,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-05,0.0,57.3,70.4,83.4,49.9,2.24,28.56,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-06,0.0,62.4,72.6,82.7,59.2,2.71,22.62,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-07,0.0,61.2,70.1,79.0,63.0,1.92,12.14,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-08,0.0,60.6,71.6,82.6,60.4,1.98,19.28,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-09,0.0,63.8,75.4,87.0,63.2,1.74,24.6,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-10,0.0,68.6,77.6,86.7,67.4,1.92,20.71,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-11,0.08,69.6,80.5,91.5,68.3,2.36,27.76,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-12,0.07,69.6,78.5,87.4,69.4,2.53,19.8,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-13,0.85,65.1,77.2,89.3,66.7,2.02,24.26,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-14,0.11,65.7,76.0,86.2,67.5,1.76,20.12,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-15,0.0,67.0,77.4,87.8,67.1,2.31,21.87,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-16,0.0,67.4,76.4,85.4,67.4,2.18,17.91,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-17,0.15,69.1,78.7,88.4,68.8,2.25,21.32,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-18,0.01,68.0,77.7,87.4,68.6,2.24,20.97,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-19,0.28,68.4,76.5,84.7,68.9,1.97,16.14,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-20,0.0,67.5,77.6,87.6,68.5,2.23,21.82,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-21,0.0,67.9,78.4,88.8,68.9,2.21,22.1,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-22,0.09,69.9,79.8,89.8,70.0,2.32,22.5,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-23,0.03,67.9,77.1,86.4,68.6,2.46,16.15,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-24,0.36,68.2,75.4,82.7,68.3,2.43,13.05,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-25,0.04,63.3,71.4,79.4,65.3,1.94,9.9,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-26,0.0,66.7,74.6,82.5,64.7,2.55,17.17,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-27,0.0,57.7,65.5,73.4,60.8,2.32,7.23,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-28,0.0,54.9,67.1,79.3,57.5,1.48,15.3,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-29,0.0,57.5,69.3,81.1,60.0,1.11,17.56,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-30,0.0,64.5,74.5,84.5,63.6,1.66,21.86,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-05-31,0.03,68.2,77.8,87.3,67.0,2.24,23.33,2023-05,2023,2023-05,2023
Alachua,-82.3576,29.6748,147.0,2023-06-01,0.0,70.3,77.5,84.7,68.1,2.58,17.48,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-02,0.08,66.8,75.7,84.7,67.8,2.09,15.8,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-03,0.0,65.6,74.9,84.2,66.0,1.96,17.13,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-04,0.0,66.9,76.9,87.0,67.4,1.7,22.08,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-05,0.1,67.8,75.9,84.0,66.8,2.1,15.24,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-06,0.0,63.5,74.5,85.5,63.7,2.31,21.73,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-07,0.03,67.5,78.8,90.1,65.9,2.26,28.37,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-08,0.0,68.9,77.9,87.0,68.4,1.97,20.07,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-09,0.0,71.2,80.4,89.7,69.2,2.38,23.91,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-10,0.92,67.2,78.0,88.8,68.2,1.97,18.95,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-11,0.11,68.1,78.1,88.0,70.9,0.56,19.64,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-12,0.0,67.9,79.4,90.8,70.1,0.67,24.65,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-13,0.0,72.0,81.2,90.5,71.4,0.91,23.5,2023-06,2023,2023-06,2023
Alachua,-82.3576,29.6748,147.0,2023-06-14,0.0,70.3,81.3,92.3,72.3,0.73,24.3,2023-06,2023,2023-06,2023
Baker,-82.2846,30.3311,137.0,2023-01-01,0.03,58.4,65.4,72.5,63.9,0.37,3.43,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-02,0.0,54.0,64.2,74.3,60.6,0.26,6.49,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-03,0.0,56.1,65.9,75.7,62.3,0.32,7.77,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-04,0.0,60.0,70.3,80.6,65.3,0.39,13.36,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-05,0.65,59.7,68.3,76.8,65.5,0.44,5.95,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-06,0.0,38.6,56.5,74.5,50.5,0.34,16.28,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-07,0.0,34.4,49.0,63.7,36.9,0.31,13.4,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-08,0.0,34.1,51.1,68.2,39.6,0.28,16.21,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-09,0.0,37.1,55.1,73.0,50.9,0.37,14.37,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-10,0.0,39.0,54.7,70.3,45.9,0.4,14.7,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-11,0.0,36.1,51.2,66.2,41.0,0.32,13.24,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-12,0.0,36.0,55.0,74.0,47.8,0.37,17.5,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-13,0.43,49.8,63.5,77.3,51.5,0.6,21.37,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-14,0.0,35.6,47.3,58.9,38.8,0.84,5.24,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-15,0.0,27.0,38.1,49.1,29.3,0.39,6.06,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-16,0.0,26.6,42.0,57.5,30.0,0.29,11.01,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-17,0.0,27.9,47.2,66.6,34.3,0.27,16.63,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-18,0.0,35.3,54.9,74.6,48.8,0.44,19.93,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-19,0.0,52.8,64.2,75.7,57.6,0.57,11.43,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-20,0.0,52.2,66.2,80.2,63.0,0.42,12.82,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-21,0.0,43.0,58.2,73.5,42.9,0.31,20.35,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-22,0.22,45.5,50.6,55.6,48.8,0.15,5.59,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-23,0.29,52.3,65.1,77.9,60.7,0.39,9.42,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-24,0.0,35.4,48.8,62.2,40.4,0.42,10.17,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-25,0.0,35.0,51.2,67.4,50.7,0.54,9.84,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-26,0.37,43.8,61.2,78.6,59.8,0.79,11.89,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-27,0.0,31.9,45.1,58.3,36.9,0.25,8.91,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-28,0.0,30.2,43.9,57.7,31.4,0.27,10.89,2023-01,2023,2023-01,2023
Baker,-82.2846,30.3311,137.0,2023-01-29,0.0,30.0,46.1,62.2,41.6,0.45,10.76,2023-01,2023,2023-01,2023
